ds,y,yhat,yhat_lower,yhat_upper
2018-10-19 21:00:00,0.2,0.5971111767783859,0.0,1.631368046709589
2018-10-19 22:00:00,0.2,0.42793558380523616,0.0,1.5465273271651823
2018-10-19 23:00:00,0.2,0.33294288023156465,0.0,1.2928969355267625
2018-10-20 00:00:00,0.2,0.3175382904090085,0.0,1.3314721897764112
2018-10-20 01:00:00,0.2,0.30098810471919485,0.0,1.3656104260153528
2018-10-20 02:00:00,0.2,0.21870181947700149,0.0,1.2199340915370538
2018-10-20 03:00:00,0.2,0.10416278661367417,0.0,1.1355507681125645
2018-10-20 04:00:00,0.16,0.06432286416617883,0.0,1.0519047974670515
2018-10-20 05:00:00,0.2,0.17086311758129663,0.0,1.2056819251221425
2018-10-20 06:00:00,0.2,0.3765822873339091,0.0,1.378371831380011
2018-10-20 07:00:00,0.2,0.5437898365686173,0.0,1.5259502608806539
2018-10-20 08:00:00,0.2,0.561568669274713,0.0,1.6084232309616866
2018-10-20 09:00:00,0.28,0.4404950902019085,0.0,1.4331875018117055
2018-10-20 10:00:00,0.2,0.2948482250244787,0.0,1.3265914940378447
2018-10-20 11:00:00,0.2,0.23229172170362505,0.0,1.134939970085255
2018-10-20 12:00:00,0.2,0.26024333310779035,0.0,1.238751541885869
2018-10-20 13:00:00,0.2,0.2984399743846134,0.0,1.2513113291519262
2018-10-20 14:00:00,0.2,0.27921627099996216,0.0,1.233979608538189
2018-10-20 15:00:00,0.2,0.22929074495965635,0.0,1.286464936975477
2018-10-20 16:00:00,0.72,0.24709189132484094,0.0,1.2714771243060075
2018-10-20 17:00:00,1.96,0.39703278425308053,0.0,1.3497870860733954
2018-10-20 18:00:00,0.88,0.6283648729296542,0.0,1.5871219732636876
2018-10-20 19:00:00,1.04,0.8041653740746884,0.0,1.7463951174430095
2018-10-20 20:00:00,0.04,0.817075948657073,0.0,1.812037292666632
2018-10-20 21:00:00,0.04,0.6813458984608354,0.0,1.7475227152948978
2018-10-20 22:00:00,0.04,0.5128201960480439,0.0,1.5905811754531487
2018-10-20 23:00:00,0.04,0.41816096661675434,0.0,1.4460612008153513
2018-10-21 00:00:00,0.0,0.4027562977702739,0.0,1.4831698309559185
2018-10-21 01:00:00,0.04,0.38585728345127224,0.0,1.4339615882147578
2018-10-21 02:00:00,0.04,0.3028603739046703,0.0,1.3371154681279662
2018-10-21 03:00:00,0.04,0.1872382189697256,0.0,1.254937719377175
2018-10-21 04:00:00,0.04,0.1459344931241851,0.0,1.1826428638389987
2018-10-21 05:00:00,0.0,0.2506247501140946,0.0,1.3160462294760331
